round(Avg(Temp))	ChangeDate
35	2018-10-03 02:40:00.069542
35	2018-10-03 02:41:01.326276
35	2018-10-03 02:42:00.807436
35	2018-10-03 02:43:00.293830
35	2018-10-03 02:44:01.507448
35	2018-10-03 02:45:01.010747
35	2018-10-03 02:46:00.468048
35	2018-10-03 02:47:01.711567
35	2018-10-03 02:48:01.186766
35	2018-10-03 02:49:00.688118
35	2018-10-03 02:50:00.169247
35	2018-10-03 02:51:01.427103
35	2018-10-03 02:52:00.891319
35	2018-10-03 02:53:00.393230
35	2018-10-03 02:54:01.646454
35	2018-10-03 02:55:01.132550
35	2018-10-03 02:56:00.649139
35	2018-10-03 02:57:00.126143
35	2018-10-03 02:58:01.393744
35	2018-10-03 02:59:00.849061
35	2018-10-03 03:00:00.329480
35	2018-10-03 03:01:01.568237
35	2018-10-03 03:02:01.068348
35	2018-10-03 03:03:00.550775
35	2018-10-03 03:04:00.028829
35	2018-10-03 03:05:01.248630
35	2018-10-03 03:06:00.729691
35	2018-10-03 03:07:00.227151
35	2018-10-03 03:08:01.506559
35	2018-10-03 03:09:00.969135
35	2018-10-03 03:10:00.451473
35	2018-10-03 03:11:01.669845
35	2018-10-03 03:12:01.149159
35	2018-10-03 03:13:00.651412
35	2018-10-03 03:14:00.147713
35	2018-10-03 03:15:01.368750
35	2018-10-03 03:16:00.850754
35	2018-10-03 03:17:00.326876
35	2018-10-03 03:18:01.548538
35	2018-10-03 03:19:01.228700
35	2018-10-03 03:20:00.528145
35	2018-10-03 03:21:01.748663
35	2018-10-03 03:22:01.231896
35	2018-10-03 03:23:00.744868
35	2018-10-03 03:24:00.223482
35	2018-10-03 03:25:01.430137
35	2018-10-03 03:26:00.923769
35	2018-10-03 03:27:00.408752
35	2018-10-03 03:28:01.631572
35	2018-10-03 03:29:01.131311
35	2018-10-03 03:30:00.609798
35	2018-10-03 03:31:00.111072
35	2018-10-03 03:32:01.330781
35	2018-10-03 03:33:00.813725
35	2018-10-03 03:34:00.310318
35	2018-10-03 03:35:01.531225
35	2018-10-03 03:36:01.008164
35	2018-10-03 03:37:00.512395
35	2018-10-03 03:38:01.734155
35	2018-10-03 03:39:01.232371
35	2018-10-03 03:40:00.714713
35	2018-10-03 03:41:00.210179
35	2018-10-03 03:42:01.430526
35	2018-10-03 03:43:00.931802
35	2018-10-03 03:44:00.389915
35	2018-10-03 03:45:01.657692
35	2018-10-03 03:46:01.113231
35	2018-10-03 03:47:00.609234
35	2018-10-03 03:48:00.091498
35	2018-10-03 03:49:01.334169
35	2018-10-03 03:50:00.829264
35	2018-10-03 03:51:00.312502
35	2018-10-03 03:52:01.530993
35	2018-10-03 03:53:01.012573
35	2018-10-03 03:54:00.509734
35	2018-10-03 03:55:00.011957
35	2018-10-03 03:56:01.252719
35	2018-10-03 03:57:00.733847
35	2018-10-03 03:58:00.210282
35	2018-10-03 03:59:01.427793
35	2018-10-03 04:00:00.910006
35	2018-10-03 04:01:00.412178
35	2018-10-03 04:02:01.634876
35	2018-10-03 04:03:01.110097
35	2018-10-03 04:04:00.590341
35	2018-10-03 04:05:00.092688
35	2018-10-03 04:06:01.330360
35	2018-10-03 04:07:00.810329
35	2018-10-03 04:08:00.315978
35	2018-10-03 04:09:01.550541
35	2018-10-03 04:10:01.049670
35	2018-10-03 04:11:00.535116
35	2018-10-03 04:12:00.021534
35	2018-10-03 04:13:01.252830
35	2018-10-03 04:14:00.753103
35	2018-10-03 04:15:00.248333
35	2018-10-03 04:16:01.495120
35	2018-10-03 04:17:01.076619
35	2018-10-03 04:18:00.492762
35	2018-10-03 04:19:01.732240
35	2018-10-03 04:20:01.230996
35	2018-10-03 04:21:00.713695
35	2018-10-03 04:22:00.209034
35	2018-10-03 04:23:01.435727
35	2018-10-03 04:24:00.934360
35	2018-10-03 04:25:00.410211
35	2018-10-03 04:26:01.650817
35	2018-10-03 04:27:01.132174
35	2018-10-03 04:28:00.611398
35	2018-10-03 04:29:00.110582
35	2018-10-03 04:30:01.392243
35	2018-10-03 04:31:00.829508
35	2018-10-03 04:32:00.291670
35	2018-10-03 04:33:01.531592
35	2018-10-03 04:34:01.010700
35	2018-10-03 04:35:00.512735
35	2018-10-03 04:36:01.736447
